"participant","minutes","n_previous_marathons","age","gender","hills","weather"
400,213,14,19,"Female",14,"Sunny"
132,308,10,39,"Female",14,"Cloudy"
520,288,9,23,"Female",11,"Cloudy"
503,346,5,44,"Female",5,"Cloudy"
372,282,6,32,"Female",7,"Sunny"
418,421,6,32,"Male",13,"Sunny"
85,460,4,40,"Female",13,"Cloudy"
365,308,6,13,"Female",6,"Cloudy"
10,362,7,55,"Female",8,"Sunny"
425,260,10,35,"Male",8,"Cloudy"
65,383,9,43,"Female",9,"Cloudy"
391,156,13,34,"Male",8,"Sunny"
451,393,7,50,"Male",11,"Cloudy"
166,378,7,47,"Female",11,"Cloudy"
232,322,6,30,"Female",16,"Cloudy"
83,357,6,37,"Female",8,"Sunny"
366,242,9,35,"Male",10,"Cloudy"
270,189,7,36,"Male",9,"Sunny"
543,164,10,30,"Male",8,"Sunny"
153,291,6,39,"Female",8,"Sunny"
303,352,9,35,"Female",9,"Sunny"
428,305,6,37,"Female",4,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
397,291,5,33,"Male",7,"Cloudy"
41,388,4,41,"Female",11,"Sunny"
94,319,8,27,"Male",12,"Sunny"
546,275,12,35,"Female",8,"Cloudy"
468,270,8,33,"Male",7,"Cloudy"
70,334,6,30,"Male",13,"Cloudy"
544,312,5,36,"Male",15,"Sunny"
563,229,9,21,"Other",7,"Cloudy"
329,373,6,21,"Female",12,"Cloudy"
593,221,12,24,"Female",7,"Cloudy"
534,348,9,50,"Male",12,"Sunny"
269,335,2,32,"Male",9,"Sunny"
572,230,11,36,"Female",14,"Cloudy"
155,422,4,44,"Female",8,"Light Rain"
233,338,7,21,"Female",7,"Sunny"
565,424,8,33,"Female",15,"Light Rain"
333,324,9,40,"Female",10,"Cloudy"
114,302,12,34,"Male",12,"Light Rain"
48,288,7,29,"Female",12,"Light Rain"
540,412,5,38,"Male",9,"Heavy Rain"
490,226,10,28,"Female",5,"Sunny"
335,337,6,21,"Male",12,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
479,370,5,40,"Female",10,"Sunny"
518,255,9,47,"Male",5,"Cloudy"
525,322,7,32,"Female",8,"Cloudy"
42,302,6,45,"Female",14,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
229,374,8,39,"Female",13,"Cloudy"
33,228,8,28,"Male",11,"Sunny"
228,319,7,36,"Female",7,"Cloudy"
598,253,6,31,"Female",10,"Sunny"
320,209,10,50,"Male",7,"Light Rain"
353,246,7,41,"Male",10,"Cloudy"
295,361,9,40,"Female",5,"Cloudy"
250,215,8,29,"Female",8,"Cloudy"
9,320,7,47,"Male",10,"Light Rain"
381,327,7,39,"Male",13,"Cloudy"
311,309,6,31,"Male",6,"Light Rain"
301,376,9,46,"Male",14,"Sunny"
130,296,8,21,"Male",9,"Cloudy"
548,282,10,45,"Female",10,"Light Rain"
516,458,4,43,"Male",7,"Sunny"
306,293,7,33,"Male",7,"Cloudy"
470,327,9,50,"Female",10,"Sunny"
124,459,5,48,"Female",16,"Cloudy"
47,280,5,36,"Male",12,"Cloudy"
151,336,10,49,"Female",8,"Light Rain"
262,302,10,41,"Male",9,"Sunny"
457,268,9,45,"Male",5,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
198,250,8,37,"Male",12,"Sunny"
477,317,8,35,"Other",15,"Sunny"
371,325,6,30,"Female",12,"Cloudy"
39,306,6,44,"Male",11,"Sunny"
595,256,4,40,"Other",9,"Cloudy"
29,334,5,48,"Other",13,"Sunny"
121,392,8,53,"Male",10,"Cloudy"
253,346,7,46,"Male",9,"Cloudy"
223,261,8,28,"Male",11,"Cloudy"
349,305,5,42,"Male",10,"Sunny"
345,303,7,31,"Female",11,"Cloudy"
224,390,8,32,"Female",9,"Sunny"
136,370,8,24,"Female",-999,"Cloudy"
429,356,4,28,"Male",10,"Cloudy"
547,387,3,29,"Female",14,"Cloudy"
384,315,9,25,"Female",8,"Cloudy"
422,201,8,18,"Male",7,"Sunny"
160,378,5,32,"Female",6,"Sunny"
456,215,10,34,"Female",13,"Sunny"
73,271,8,30,"Female",19,"Sunny"
327,103,17,37,"Male",11,"Sunny"
287,390,3,39,"Female",14,"Sunny"
310,199,7,27,"Male",7,"Sunny"
186,328,7,43,"Female",9,"Cloudy"
367,386,5,37,"Female",9,"Sunny"
340,211,13,30,"Female",13,"Sunny"
458,331,9,33,"Female",10,"Cloudy"
89,257,10,31,"Female",6,"Sunny"
240,258,9,33,"Male",9,"Sunny"
437,393,4,41,"Male",9,"Cloudy"
273,258,3,27,"Male",5,"Light Rain"
62,458,4,42,"Other",10,"Light Rain"
118,256,12,39,"Male",-999,"Light Rain"
339,427,8,41,"Male",4,"Cloudy"
249,299,12,59,"Female",8,"Cloudy"
469,351,5,32,"Female",7,"Sunny"
406,360,7,41,"Female",11,"Light Rain"
87,300,13,40,"Female",11,"Heavy Rain"
257,392,4,34,"Male",9,"Cloudy"
31,310,12,45,"Male",7,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
125,420,6,28,"Female",11,"Light Rain"
388,335,5,40,"Male",9,"Light Rain"
436,363,8,40,"Female",14,"Sunny"
354,377,4,20,"Female",14,"Sunny"
133,408,8,38,"Female",8,"Heavy Rain"
413,316,5,34,"Female",0,"Cloudy"
100,327,7,31,"Female",8,"Cloudy"
170,387,5,46,"Female",8,"Light Rain"
386,277,11,31,"Female",9,"Cloudy"
434,217,15,49,"Male",6,"Cloudy"
373,311,10,39,"Female",12,"Light Rain"
214,212,8,37,"Male",8,"Light Rain"
25,318,8,30,"Female",4,"Sunny"
330,303,11,56,"Male",11,"Sunny"
395,300,4,20,"Male",8,"Light Rain"
420,451,2,39,"Female",6,"Cloudy"
49,322,5,25,"Male",-999,"Cloudy"
431,321,12,52,"Male",6,"Sunny"
449,390,6,59,"Female",13,"Sunny"
576,404,8,55,"Female",10,"Cloudy"
237,440,5,47,"Male",11,"Light Rain"
407,302,8,38,"Female",8,"Cloudy"
230,207,11,29,"Male",5,"Sunny"
215,487,3,29,"Male",11,"Heavy Rain"
192,347,6,49,"Female",9,"Sunny"
110,318,4,37,"Male",7,"Sunny"
444,359,4,42,"Male",8,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
443,349,9,59,"Female",9,"Light Rain"
167,345,9,42,"Female",13,"Cloudy"
334,362,10,38,"Other",7,"Cloudy"
539,300,7,36,"Male",8,"Cloudy"
289,295,3,41,"Male",11,"Sunny"
185,346,7,42,"Male",12,"Sunny"
143,473,2,42,"Female",13,"Cloudy"
445,196,10,37,"Male",9,"Cloudy"
184,309,5,36,"Female",12,"Light Rain"
51,391,3,45,"Male",10,"Cloudy"
542,464,4,62,"Female",11,"Sunny"
464,388,4,18,"Female",13,"Sunny"
96,314,5,50,"Other",4,"Sunny"
561,399,3,44,"Female",3,"Cloudy"
337,287,8,34,"Female",8,"Light Rain"
204,334,7,43,"Female",11,"Cloudy"
81,308,5,35,"Male",7,"Sunny"
410,303,8,42,"Female",10,"Cloudy"
288,370,5,27,"Male",9,"Cloudy"
538,354,9,27,"Male",14,"Cloudy"
394,266,9,27,"Male",12,"Sunny"
515,329,9,38,"Male",15,"Cloudy"
255,300,7,52,"Male",11,"Sunny"
462,315,6,41,"Male",9,"Cloudy"
177,357,6,52,"Female",9,"Cloudy"
200,347,7,41,"Female",9,"Sunny"
165,293,6,24,"Female",9,"Cloudy"
53,362,9,31,"Other",11,"Sunny"
316,223,9,9,"Female",8,"Sunny"
162,308,6,32,"Female",2,"Cloudy"
191,394,5,34,"Female",14,"Cloudy"
199,432,4,39,"Female",14,"Cloudy"
277,378,12,42,"Female",9,"Sunny"
398,428,4,34,"Female",11,"Cloudy"
173,230,10,22,"Female",11,"Cloudy"
34,403,9,50,"Female",7,"Sunny"
487,407,4,43,"Female",6,"Cloudy"
187,358,5,44,"Female",13,"Sunny"
168,312,5,52,"Female",10,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
360,255,10,36,"Female",8,"Cloudy"
231,289,8,41,"Female",9,"Sunny"
507,279,7,34,"Female",7,"Cloudy"
586,468,4,40,"Female",11,"Sunny"
476,456,6,54,"Male",13,"Cloudy"
246,281,8,44,"Other",14,"Light Rain"
343,284,7,37,"Female",13,"Cloudy"
549,406,9,51,"Female",6,"Cloudy"
127,453,4,59,"Female",14,"Sunny"
389,365,4,32,"Female",5,"Cloudy"
68,206,9,26,"Male",9,"Sunny"
217,313,6,34,"Male",14,"Light Rain"
566,356,8,61,"Female",6,"Light Rain"
564,316,5,26,"Male",8,"Sunny"
502,234,6,28,"Male",10,"Sunny"
511,284,7,10,"Female",10,"Sunny"
385,262,7,25,"Male",13,"Sunny"
332,300,5,16,"Female",12,"Sunny"
282,342,4,34,"Male",11,"Sunny"
268,310,6,41,"Female",8,"Cloudy"
234,302,3,36,"Female",4,"Cloudy"
206,304,10,34,"Male",14,"Cloudy"
247,300,6,23,"Male",8,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
505,393,6,38,"Male",8,"Light Rain"
222,337,12,34,"Female",12,"Cloudy"
532,340,8,29,"Female",6,"Sunny"
472,404,9,31,"Female",12,"Cloudy"
380,257,12,28,"Male",6,"Cloudy"
531,292,11,46,"Female",6,"Light Rain"
489,393,6,16,"Male",11,"Sunny"
261,191,11,27,"Female",15,"Cloudy"
90,387,5,38,"Male",12,"Cloudy"
281,401,9,32,"Female",11,"Cloudy"
92,265,8,13,"Male",14,"Cloudy"
454,423,3,37,"Male",9,"Sunny"
30,343,4,35,"Male",7,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
208,337,5,14,"Female",19,"Sunny"
26,272,8,42,"Male",19,"Cloudy"
500,302,9,41,"Male",10,"Light Rain"
358,364,6,40,"Male",17,"Cloudy"
236,357,6,43,"Male",12,"Sunny"
171,374,8,55,"Female",10,"Cloudy"
71,445,9,59,"Female",10,"Light Rain"
318,258,5,28,"Female",7,"Sunny"
554,182,10,23,"Male",13,"Sunny"
285,424,3,25,"Female",14,"Cloudy"
189,338,11,51,"Male",12,"Cloudy"
526,310,8,29,"Female",12,"Cloudy"
324,352,8,37,"Female",12,"Sunny"
362,349,5,49,"Female",8,"Sunny"
123,350,6,36,"Male",12,"Sunny"
573,348,7,24,"Female",14,"Sunny"
545,313,9,41,"Female",10,"Cloudy"
481,434,5,43,"Female",12,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
587,332,5,25,"Female",10,"Sunny"
541,273,9,27,"Male",8,"Heavy Rain"
580,358,7,34,"Other",7,"Cloudy"
54,493,4,36,"Female",14,"Cloudy"
524,332,3,43,"Male",8,"Sunny"
309,400,7,32,"Male",14,"Heavy Rain"
193,280,13,48,"Male",12,"Sunny"
113,495,3,42,"Female",4,"Cloudy"
414,292,7,34,"Female",9,"Sunny"
567,302,6,16,"Female",13,"Sunny"
102,276,6,23,"Female",12,"Light Rain"
377,285,9,24,"Female",9,"Sunny"
266,258,7,36,"Female",10,"Cloudy"
